[0/6] CSV okundu. Toplam satır: 4537 | com: 3714 | de: 820
[1/6] Benzersiz değerler çıkarılıyor...
[1/6] Tamam. Süre: 0.01 sn | Benzersiz Title (com): 3304 | (de): 735 | Benzersiz Category (com): 108 | (de): 28

[2/6] Title çevirileri başlıyor...
[Title EN->TR] Başlıyor | src=en dest=tr | toplam benzersiz=3304
[Cat EN->TR] İlerleme 80/108 | ok=80 fail=0 | hız=1.28/sn | kalan~0.4 dk
[Cat EN->TR] İlerleme 90/108 | ok=90 fail=0 | hız=1.28/sn | kalan~0.2 dk
[Cat EN->TR] İlerleme 100/108 | ok=100 fail=0 | hız=1.32/sn | kalan~0.1 dk
[Cat EN->TR] İlerleme 108/108 | ok=108 fail=0 | hız=1.34/sn | kalan~0.0 dk
[Cat DE->TR] Başlıyor | src=de dest=tr | toplam benzersiz=28
[Cat DE->TR] İlerleme 10/28 | ok=10 fail=0 | hız=1.47/sn | kalan~0.2 dk
[Cat DE->TR] İlerleme 20/28 | ok=20 fail=0 | hız=1.07/sn | kalan~0.1 dk
[Cat DE->TR] İlerleme 28/28 | ok=28 fail=0 | hız=1.04/sn | kalan~0.0 dk

[4/6] Çeviriler satırlara uygulanıyor (map)...
[5/6] CSV yazılıyor...

[6/6] Tamamlandı.
Türkçe İsim dolu: 4534 / 4537
Türkçe Kategori Ağacı dolu: 4250 / 4537
